,卡名,年費,國內消費現金回饋,國內消費現金回饋備註,國外消費現金回饋,國外消費現金回饋備註,分期零利率,分期零利率回饋備註,最低可分期金額,最低可分期金額備註,加油現金回饋,加油現金回饋備註,加油優惠,加油優惠備註,國內哩程累積,國內哩程累積備註,國外哩程累積,國外哩程累積備註,首刷里程回饋,首刷里程回饋備註,首刷(類)現金回饋,國首刷(類)現金回饋備註,週末電影折扣,週末電影折扣備註,平日電影折扣,平日電影折扣備註,,數位通路回饋上限,數位通路回饋上限備註,網購回饋,網購回饋備註
0,渣打銀行 現金回饋御璽卡,首年免年費,6.88%,2020/03/31前新戶完成指定任務享最高6.88%現金回饋(上限$350)，消費滿1萬以上加送24吋行李箱,6.88%,2020/03/31前新戶完成指定任務享最高6.88%現金回饋(上限$350)，消費滿1萬以上加送24吋行李箱,,,,,,,,,,,,,,,,,,,,,,,,,
1,彰化銀行 My樂現金回饋卡,首年免年費,3.50%,國內0.5%+指定通路2.5%,3%,不限通路、無消費門檻、回饋無上限,,,,,,,,,,,,,,,,,,,,,,,,,
2,花旗銀行 現金回饋PLUS卡,首年免年費,3.50%,指定通路最高回饋,2%,國外網站、海外指定國家實體商店(含原0.5%基本回饋),,,,,,,,,,,,,,,,,,,,,,,,,
3,第一銀行 一卡通聯名卡,首年免年費,3.50%,於國內消費,1%,新卡於國外消費享限時加碼現金回饋,,,,,,,,,,,,,,,,,,,,,,,,,
4,遠東商銀 快樂信用卡,首年免年費,3.50%,刷卡每100元指定特店最高享HAPPY GO點數3倍 (含原有點數),0%,於國外消費達檻享最高現金回饋,,,,,,,,,,,,,,,,,,,,,,,,,
5,聯邦銀行 賴點一卡通御璽卡,首年免年費,3%,Line Point回饋,2%,Line Point回饋,,,,,,,,,,,,,,,,,,,,,,,,,
6,永豐銀行 DAWHO現金回饋信用卡,"NT$3,000 ",3%,基本回饋一般消費國內1%；指定任務綁定享加碼1%回饋,2%,基本回饋一般消費國外2%；指定任務綁定享加碼1%,,,,,,,,,,,,,,,,,,,,,,,,,
7,遠東商銀 Bankee信用卡,首年免年費,3%,指定通路回饋外送10%、交通20%,1.20%,基本回饋0.15%；2020/3/31前Bankee信用卡綁定數位存款帳戶自動扣繳信用卡帳款，即享國內一般消費基本回饋1.2%金讚點數、海外一般消費回饋3%金讚點數,,,,,,,,,,,,,,,,,,,,,,,,,
8,元大銀行 鑽金卡,"NT$1,800 ",3%,於國內消費,1.20%,於國外消費，指定國家消費可享3%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
9,元大銀行 鑽金 icash 聯名卡,"NT$1,800 ",3%,於國內消費,1.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
